model,snapshot,redshift,delta_256,delta_512,delta_1024
L35n1080_CDM,99,2.220446049250313e-16,1.564115131727131,0.3775304061848337,-0.5384313192447069
L35n1080_CDM,84,0.1999464055618716,1.556166259797133,0.3482852338610972,-0.5579806732917967
L35n1080_CDM,67,0.4999349165787814,1.5320977038873884,0.30206172735416137,-0.5388939658560657
L35n1080_CDM,50,0.9996615778638578,1.4541476389622163,0.23246421917380428,-0.5144005897531783
L35n1080_CDM,33,1.9993622219790201,1.2742952838741,0.12118171596218312,-0.5003467862917488
L35n1080_CDM,25,2.9986464259849765,1.0980453932157392,-0.10130070216723733,-0.5688178913729253
L35n1080_CDM,17,4.999485844619247,1.5564019969702212,-0.37843424761852046,-0.7852790285954636
L35n1080_SIDM1,75,0.3450626201647744,1.5391791245286754,0.32158658567908144,-0.5259464931246391
L35n1080_SIDM1,67,0.4999349165787814,1.529106188119051,0.3004190989359132,-0.5778133200472649
L35n1080_SIDM1,50,0.9996615778638578,1.455940971223309,0.23125750461215333,-0.5331063705599859
L35n1080_SIDM1,33,1.9993622219790201,1.2719137457187553,0.11357156671319285,-0.5037542770136785
L35n1080_SIDM1,25,2.9986464259849765,1.1271097632093305,-0.09248146636932403,-0.5455425419449478
L35n1080_SIDM1,17,4.999485844619247,1.6332503359049566,-0.3396844320630773,-0.8425943955945134
L35n1080_vSIDM,99,2.220446049250313e-16,1.570783169756502,0.3774150184042708,-0.5731337853555558
L35n1080_vSIDM,84,0.1999464055618716,1.5525635869122725,0.342550369915344,-0.5529466353938849
L35n1080_vSIDM,67,0.4999349165787814,1.5278241828711612,0.3009675929687383,-0.5618026425944967
L35n1080_vSIDM,50,0.9996615778638578,1.4495628949011616,0.23471281915601225,-0.5500928562060374
L35n1080_vSIDM,33,1.9993622219790201,1.2742289739462762,0.1197058071341063,-0.49462688461381127
L35n1080_vSIDM,25,2.9986464259849765,1.1203654785263293,-0.092952435052453,-0.5520397649310769
L35n1080_vSIDM,17,4.999485844619247,1.629969616429559,-0.3410528674034576,-0.8431740994573262
L35n1080_WDM3,99,2.220446049250313e-16,1.5604169945493522,0.3806954217219891,-0.5421130069321614
L35n1080_WDM3,84,0.1999464055618716,1.5468726364265994,0.3431166672971042,-0.5546699977964632
L35n1080_WDM3,67,0.4999349165787814,1.5180771905450203,0.2972299173015624,-0.45632190180435933
L35n1080_WDM3,50,0.9996615778638578,1.4376097957147884,0.232640525186946,-0.497352964909211
L35n1080_WDM3,33,1.9993622219790201,1.2442155899809453,0.11801709950315586,-0.47784966608896073
L35n1080_WDM3,25,2.9986464259849765,0.9952598626318204,-0.12361393907556767,-0.5220359961654827
L35n1080_WDM3,17,4.999485844619247,1.1724398653071613,-0.5053930767308592,-0.7962907101884347
L75n910_CDM,99,2.220446049250313e-16,3.0810875248711276,0.7012606827139957,-1.3928941319867532
L75n910_CDM,84,0.19728418237600986,3.173860914475367,0.7137461690475067,-1.3298535389207993
L75n910_CDM,67,0.5030475232448832,3.239498436076371,0.6923597086976772,-1.403379309533575
L75n910_CDM,50,0.9972942257819404,3.272282686871325,0.633932024439897,-1.322339726154719
L75n910_CDM,33,2.0020281392528516,3.1179004114340145,0.35413120474552917,-1.4101762847854509
L75n910_CDM,25,3.008131071630377,3.0138325361539775,0.0042642081817466995,-1.5854651914765627
L75n910_CDM,17,4.995933468164624,3.6836414748181285,0.20509469553799878,-1.7487563364985874
L75n910_SIDM1,99,2.220446049250313e-16,3.115658358785134,0.6805806115515918,-1.416996455989306
L75n910_SIDM1,84,0.19728418237600986,3.192887180800906,0.6851361677614225,-1.3777828156280514
L75n910_SIDM1,67,0.5030475232448832,3.2381999815229388,0.6606717472980499,-1.4265962474162572
L75n910_SIDM1,50,0.9972942257819404,3.259550779317561,0.5944130011155208,-1.3793888825449683
L75n910_SIDM1,33,2.0020281392528516,3.121109914960985,0.328033359847048,-1.4376076064599574
L75n910_SIDM1,25,3.008131071630377,3.0402009212557983,-0.015969501524285154,-1.6203875309835296
L75n910_SIDM1,17,4.995933468164624,3.780655938239848,0.21179616141954524,-1.805233554224378
L75n910_vSIDM,99,2.220446049250313e-16,3.108687871788213,0.6782834486529398,-1.437450212803666
L75n910_vSIDM,84,0.19728418237600986,3.1912303877329107,0.6870988937996869,-1.4294955494556105
L75n910_vSIDM,67,0.5030475232448832,3.2399836728643914,0.6612332666914507,-1.4141663392911017
L75n910_vSIDM,50,0.9972942257819404,3.2625916584473655,0.5963621434150324,-1.3871489427789299
L75n910_vSIDM,33,2.0020281392528516,3.1387434136325796,0.3391318237670804,-1.4930324894645994
L75n910_vSIDM,25,3.008131071630377,3.093257261688191,0.026551888092346904,-1.597165346391171
L75n910_vSIDM,17,4.995933468164624,3.7775143972458642,0.2092757313320988,-1.7887228619164492
L75n910_WDM3,99,2.220446049250313e-16,3.0658188785130323,0.7137037280067949,-1.3086890599134695
L75n910_WDM3,84,0.19728418237600986,3.1556213318465276,0.7154180226173835,-1.3635480328467309
L75n910_WDM3,67,0.5030475232448832,3.2234061081918695,0.6985807400908917,-1.3065018593946427
L75n910_WDM3,50,0.9972942257819404,3.250568710674208,0.6365979460271391,-1.2902060344032709
L75n910_WDM3,33,2.0020281392528516,3.0672862708489514,0.347079477896983,-1.3449471232094088
L75n910_WDM3,25,3.008131071630377,2.898588317221498,-0.04114548150044085,-1.5413641355399734
