simulation,redshift,target_delta,C5,C7,C13_ctilde,nHI_mfp_over_nHI_V
THESAN-1,5.511772431496886,10,2.3554688697298545,188.96193904724322,24.888177118721227,0.06222059440161163
THESAN-1,5.511772431496886,15,2.5920244145790554,180.27398851432665,23.11494726183926,0.060597229611793105
THESAN-1,5.511772431496886,20,2.8021345990615427,175.6655948959607,22.10443901962412,0.059478346968161955
THESAN-2,5.4911591607170775,10,2.244631019458062,474.0786222421091,20.941499816371422,0.022111958846169986
THESAN-2,5.4911591607170775,15,2.4502021893544637,452.1794543479801,19.652458614882732,0.02176360799675184
THESAN-2,5.4911591607170775,20,2.633435981447347,439.83394023032105,18.913884442217388,0.02153634452578634
mini SL,4.000000000000003,10,2.724422516521842,5.254443475025997,4.774745215416381,0.5323778847451897
mini SL,4.000000000000003,15,3.1598981724375355,6.050948560180077,4.406079965609701,0.42714470769358776
mini SL,4.000000000000003,20,3.488876150738194,6.550734942615633,4.220880719629414,0.3781609363706573
mini RSL,4.000000000000003,10,2.7244225165218596,4.29409949611498,17.51619020584542,1.8911317386467512
mini RSL,4.000000000000003,15,3.159898172437559,4.945028962017389,16.16373885052505,1.5173186882114034
mini RSL,4.000000000000003,20,3.488876150738223,5.353470400807623,15.484333966659024,1.3433167860254291
