simulation,redshift,nHI_V_cm^-3,dnHI_dz_cm^-3
output_4_128_sl,15.019308760790565,0.0007415539197977707,0.00013978584629159772
output_4_128_sl,13.00228991319704,0.0004596032332008067,0.00013128632094599538
output_4_128_sl,10.991143458258536,0.00021261123728209382,0.00010794848661351823
output_4_128_sl,9.002010318632912,2.7128315973189225e-05,6.064713779118699e-05
output_4_128_sl,8.488938466790612,3.264042277291282e-07,2.5719387095484704e-05
output_4_128_sl,8.002185596509696,5.334700406113522e-08,3.052355197400902e-07
output_4_128_sl,7.490577302439746,3.4706660635619187e-08,2.8367288185670966e-08
output_4_128_sl,7.008044508286467,2.4690114512577814e-08,1.723502091886673e-08
output_4_128_sl,6.508871321569112,1.7906215847044525e-08,9.527696014554799e-09
output_4_128_sl,5.999737786268797,1.5165011312445815e-08,7.89650677835866e-09
output_4_128_sl,5.506064190062856,1.0064047688693816e-08,1.0033674578109732e-08
output_4_128_sl,4.994366670428263,5.088419397683497e-09,4.306098687181241e-09
output_4_128_sl,4.50678003003574,5.505936868718719e-09,-3.0658692106757926e-08
output_4_128_sl,4.000000000000003,3.674093566738942e-08,-6.163423368609859e-08
output_4_128_rsl,15.019308760790565,0.0007602140236948663,0.00015366155780920858
output_4_128_rsl,13.00228991319704,0.0004502757654431107,0.00013597275384039705
output_4_128_rsl,10.991143458258536,0.0002122858458059394,0.00010113614162059107
output_4_128_rsl,9.002010318632912,4.494983844877077e-05,6.511834287143163e-05
output_4_128_rsl,8.488938466790612,1.4054810873597668e-05,4.361572268510574e-05
output_4_128_rsl,8.002185596509696,4.903782778026624e-07,1.4445283411104604e-05
output_4_128_rsl,7.490577302439746,3.17450269497307e-07,2.2224009306419263e-07
output_4_128_rsl,7.008044508286467,2.6289951144235907e-07,1.4046818787288273e-07
output_4_128_rsl,6.508871321569112,1.7862360639030442e-07,1.6076157644412697e-07
output_4_128_rsl,5.999737786268797,1.0096488544772332e-07,1.0319949476830154e-07
output_4_128_rsl,5.506064190062856,7.363224691249897e-08,4.1796264805548024e-08
output_4_128_rsl,4.994366670428263,5.9442210386342856e-08,2.862782407074834e-08
output_4_128_rsl,4.50678003003574,4.506712930045521e-08,2.3081824060117936e-08
output_4_128_rsl,4.000000000000003,3.674093566738942e-08,1.6429600891097934e-08
