snapshot,redshift,grid_256,grid_512,grid_1024,native
5,16.60980404955158,1.0987264672686907,1.1548652973420162,1.2283468453128688,1.2300805359492735
15,12.67878745744652,1.176543078164576,1.289378860599798,1.4390940809426067,1.4589469123012613
35,8.862071462202119,1.4035484831492846,1.6934917967289023,2.008873445858628,2.010858216428081
40,8.268106875279878,1.4752545282268048,1.8114839107823242,2.156857434630066,2.1442264421481543
45,7.782352600943341,1.5474822391684906,1.9240722402837789,2.2931416066778865,2.264676573317045
50,7.322057378623731,1.6292834550734745,2.0459391456454545,2.4355779222635516,2.3882648126330874
55,6.951471201956868,1.7056667520502153,2.1535201501392245,2.5594101847031236,2.4940588557176024
60,6.597387448679843,1.788891557900313,2.266580578751964,2.68428473548661,2.600238504644303
65,6.289194413424434,1.8705706335714556,2.3729723437205976,2.7986587074599694,2.6966003312024904
70,5.993503432016028,1.9553793648502875,2.481723767743516,2.9127035481739028,2.792732416390377
75,5.737651213014603,2.0376191747358967,2.582018670394698,3.014654327426562,2.879255858730353
80,5.4911591607170775,2.1232019274533007,2.68227336412513,3.115524106724481,2.966778828692929
