snapshot,redshift,delta_256,delta_512,delta_1024
80,5.4911591607170775,13.212322731457629,4.011586284946353,-2.8096463981077697
75,5.737651213014603,13.193701750334874,4.210320700107679,-2.6062621952978784
70,5.993503432016028,13.13801222435334,4.413799723695446,-2.377238611467484
65,6.289194413424434,13.020818877518538,4.615586470886415,-2.1133309483293816
60,6.597387448679843,12.834192435686695,4.784984533614982,-1.8460733944756267
55,6.951471201956868,12.54360231087363,4.923840187126059,-1.5616053654962099
50,7.322057378623731,12.175309142952774,5.003348752472984,-1.2879187513361152
45,7.782352600943341,11.645090606445008,5.033236487838293,-0.9894242220928688
40,8.268106875279878,11.023724141363077,4.995403076851413,-0.7257007275994813
35,8.862071462202119,10.219655001726345,4.863353322557201,-0.463952402121633
15,12.67878745744652,5.561178826368252,3.0824317522678024,0.09185674465241994
5,16.60980404955158,2.940240766316176,1.6145760566535217,-0.05174856989924605
