snapshot,redshift,delta_256,delta_512,delta_1024
80,5.4911591607170775,4.985072677977971,1.4664212584682506,-1.144422456511499
75,5.737651213014603,5.1115853073543605,1.5833012313597559,-1.0922812143819898
70,5.993503432016028,5.229925553075287,1.708174189050318,-1.0276326636350155
65,6.289194413424434,5.347380601009304,1.845794326517338,-0.9474993766091487
60,6.597387448679843,5.444497630006005,1.9796076148091715,-0.860725751504992
55,6.951471201956868,5.522862348334677,2.117861376682844,-0.762091300251388
50,7.322057378623731,5.571873096137159,2.2408586941661595,-0.6603088712396177
45,7.782352600943341,5.587419288205565,2.368092267136588,-0.5403861167679858
40,8.268106875279878,5.552347180477225,2.472109835252155,-0.42486539318024563
35,8.862071462202119,5.448045915442067,2.5531445872313867,-0.2988407756271826
15,12.67878745744652,3.919804143617184,2.16198906001101,0.05120758551771562
5,16.60980404955158,2.408010963272705,1.3207139066851912,-0.044426492354461875
