snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,photon_photoionization_rate_ratio_g0
9,7.008044508286467,all-gas,2085986,64000000003.40082,1.0,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,9.787009360148583e-05,2.1401630828353177e-07,2.6289951144235907e-07,9.760719409004346e-05,0.00010533396129194419,2.1539934577045286e-28,1.0404349327667241e-54,22.42467541061752,22.34327655195121,6.102996506399323e-05,2.6264611425523565,3.3058952928569296e-20,2.3075608836742564e-19,9.35090924880946e-21,1.8701818497618917e-21,19.285200589296252,19.285200589296252,12.338590964057472,19.285200589296252,134.61338176628595,134.61338176628595,86.12508063953328,0.41538224016033565,0.41538224016033565,0.2657598261081554,6.311738352688068e+17,4.0382238932581344e+17,5.454926565437364,1.0909853130874725,5.454926565437364,1.0909853130874725,3.4900392826227074,0.6980078565245414,6.9801390523777895,0.2828555783062468,0.05657111566124936,6.98013905237779,0.0030857425518178946,0.28285557830624686,0.05657111566124935,8.112402093098231e-10,0.0030857425518178955,3.3058952928569296e-20,2.3075608836742564e-19,6.9801390523777895,0.926645052487059,324.0711054818467,5728.655004397443,0.04052291454135027,6.102996506399323e-05,9.35090924880946e-21,1.8701818497618917e-21,2.6264611425523565,5.454926565437364,1.0909853130874725,3.4900392826227074,0.6980078565245414,0.2828555783062468,0.05657111566124936,0.04052291454135027
9,7.008044508286467,overdensity_lt_-1,0,0.0,0.0,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.008044508286467,overdensity_lt_-0.492462311558,287116,22914412751.93956,0.3580376992300303,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,3.5950877099803573e-05,1.3574627161279943e-09,4.943259489845224e-10,3.595038277385509e-05,3.8790926722992724e-05,7.91213771123418e-29,6.57501259423934e-57,1.0502892342897505,1.050289271668737,6.093068462691664e-05,2.6221885494102195,2.442063965364984e-22,4.338871599279942e-22,9.335697666166215e-21,1.867139533233243e-21,1.0502886517367305,1.0502886517367305,0.6754831732531226,1.0502886517367305,1.8660721695655647,1.8660721695655647,1.2001465963981954,3.0624181889205744,3.0624181889205744,1.9695651787340045,4.653348281697972e+18,2.992756761082489e+18,40.151189542465566,8.030237908493113,40.151189542465566,8.030237908493113,25.822856294967,5.1645712589934005,1.7767231574671167,38.22871881560616,7.645743763121232,1.7767231574671167,1.6411038323525975,38.22871881560615,7.645743763121231,8.112402093098231e-10,1.6411038323525748,2.442063965364984e-22,4.338871599279942e-22,1.7767231574671167,0.9267729804595274,0.6093459659809995,5728.655004397443,21.51641838794105,6.093068462691664e-05,9.335697666166215e-21,1.867139533233243e-21,2.6221885494102195,40.151189542465566,8.030237908493113,25.822856294967,5.1645712589934005,38.22871881560616,7.645743763121232,21.51641838794105
9,7.008044508286467,overdensity_lt_0.0150753768844,868628,47474888378.81377,0.7417951308795477,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,5.3192343834731325e-05,3.236060598408575e-09,1.0477382457768778e-09,5.319129609648415e-05,5.7397261123858253e-05,1.1706674389157671e-28,1.5674204559859742e-56,1.1437166204933245,1.1437165120696708,6.147326032951006e-05,2.645538620121557,5.821977705576417e-22,9.196364721333203e-22,9.418830208520452e-21,1.8837660417040905e-21,1.1437315664425607,1.1437315664425607,0.7356119301614619,1.1437315664425607,1.8066322408333841,1.8066322408333841,1.1619686548522972,1.398834797819948,1.398834797819948,0.8996862513832066,2.125531230961353e+18,1.367074388170673e+18,18.50335740401301,3.700671480802602,18.50335740401301,3.700671480802602,11.900773620133322,2.3801547240266645,1.5795946302791102,16.178059561270548,3.2356119122541096,1.5795946302791102,0.7742775569944869,16.178059561270548,3.2356119122541096,8.112402093098231e-10,0.7742775569944992,5.821977705576417e-22,9.196364721333203e-22,1.5795946302791102,0.9267218514434339,1.2915265216800083,5728.655004397443,10.241905898611423,6.147326032951006e-05,9.418830208520452e-21,1.8837660417040905e-21,2.645538620121557,18.50335740401301,3.700671480802602,11.900773620133322,2.3801547240266645,16.178059561270548,3.2356119122541096,10.241905898611423
9,7.008044508286467,overdensity_lt_0.522613065327,1193425,55593748178.84616,0.868652315248313,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,6.283635936261092e-05,4.86800373070301e-09,1.5031032357257366e-09,6.283485625937405e-05,6.780730527559927e-05,1.3829152081998214e-28,2.3578716597005496e-56,1.2329034196119177,1.232902896372351,6.125576832434059e-05,2.636178721262128,8.758649773879766e-22,1.319326236802601e-21,9.385506446978907e-21,1.877101289395781e-21,1.2329497051038616,1.2329497051038616,0.7930336427816923,1.2329497051038616,1.8572073739637627,1.8572073739637627,1.194556374099165,1.0023538390286755,1.0023538390286755,0.6447143083214116,1.5230779164557868e+18,9.796442006736483e+17,13.211919308113995,2.6423838616227986,13.211919308113995,2.6423838616227986,8.497910704450684,1.6995821408901364,1.5063123550585664,10.715700124200156,2.1431400248400307,1.5063123550585664,0.5397102408060077,10.715700124200156,2.1431400248400307,8.112402093098231e-10,0.5397102408060054,8.758649773879766e-22,1.319326236802601e-21,1.5063123550585664,0.9266679453487355,1.8528460725640414,5728.655004397443,7.113863262300283,6.125576832434059e-05,9.385506446978907e-21,1.877101289395781e-21,2.636178721262128,13.211919308113995,2.6423838616227986,8.497910704450684,1.6995821408901364,10.715700124200156,2.1431400248400307,7.113863262300283
9,7.008044508286467,overdensity_lt_1.03015075377,1384600,58998422408.83524,0.9218503500890656,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,6.899263898683102e-05,6.256807021142524e-09,1.918561174350001e-09,6.899072042565639e-05,7.445398168736145e-05,1.5184043203316613e-28,3.0305572455147863e-56,1.3144607738796594,1.314459610174385,6.090184133449073e-05,2.6209472610250715,1.1258200458650895e-21,1.683988187949478e-21,9.331278345105998e-21,1.8662556690211996e-21,1.3145456752123519,1.3145456752123519,0.8455512645859532,1.3145456752123519,1.966281731887854,1.966281731887854,1.2647654899183765,0.8314182654505156,0.8314182654505156,0.5347906725553521,1.263341097862976e+18,8.126150981622493e+17,10.895517127993724,2.1791034255987447,10.895517127993724,2.1791034255987447,7.00829074227853,1.401658148455706,1.495788065005973,8.28842795913779,1.6576855918275581,1.495788065005973,0.4228378120831441,8.288427959137792,1.6576855918275581,8.112402093098231e-10,0.4228378120831447,1.1258200458650895e-21,1.683988187949478e-21,1.495788065005973,0.9266223090036239,2.364972978819986,5728.655004397443,5.541178027185752,6.090184133449073e-05,9.331278345105998e-21,1.8662556690211996e-21,2.6209472610250715,10.895517127993724,2.1791034255987447,7.00829074227853,1.401658148455706,8.28842795913779,1.6576855918275581,5.541178027185752
9,7.008044508286467,overdensity_lt_1.53768844221,1507714,60706051981.864456,0.9485320621662292,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,7.32191840060548e-05,7.4385660063887264e-09,2.3227207088894576e-09,7.321686128534517e-05,7.901822238611516e-05,1.6114234959632685e-28,3.6029602342346603e-56,1.3875226629650803,1.3875206393570638,6.058963074389427e-05,2.6075110910447172,1.3385482724152828e-21,2.0387331350018933e-21,9.283441960206817e-21,1.8566883920413637e-21,1.3876533444982586,1.3876533444982586,0.8926079471848086,1.3876533444982586,2.113524713023638,2.113524713023638,1.3595246701174644,0.7381758056458496,0.7381758056458496,0.4748315515192858,1.1216590631614157e+18,7.215071384934086e+17,9.624008001812111,1.9248016003624224,9.624008001812111,1.9248016003624224,6.190642684822542,1.2381285369645088,1.5230927244209083,6.935455486753369,1.387091097350674,1.5230927244209083,0.34926291663266384,6.935455486753369,1.387091097350674,8.112402093098231e-10,0.34926291663266495,1.3385482724152828e-21,2.0387331350018933e-21,1.5230927244209083,0.9265819841855948,2.863172562496074,5728.655004397443,4.553534644051486,6.058963074389427e-05,9.283441960206817e-21,1.8566883920413637e-21,2.6075110910447172,9.624008001812111,1.9248016003624224,6.190642684822542,1.2381285369645088,6.935455486753369,1.387091097350674,4.553534644051486
9,7.008044508286467,overdensity_lt_2.04522613065,1592668,61672339139.815704,0.9636302990084152,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,7.628569144314876e-05,8.458385109423305e-09,2.6959766208081677e-09,7.628299546652694e-05,8.233059835830986e-05,1.6789123895696739e-28,4.096927727339321e-56,1.453457156958919,1.4534539640390545,6.033669218271749e-05,2.596625728392332,1.5221643095454045e-21,2.366352892535225e-21,9.244687136595031e-21,1.848937427319006e-21,1.453643250327877,1.453643250327877,0.9350866166438268,1.453643250327877,2.2598302223726336,2.2598302223726336,1.4536833548061145,0.6800003859279323,0.6800003859279323,0.4374245607032023,1.0332614398842212e+18,6.646671689989523e+17,8.828532487085921,1.765706497417184,8.828532487085921,1.765706497417184,5.679139342763244,1.1358278685526486,1.554597540946114,6.07338319432543,1.2146766388650858,1.554597540946114,0.30090773156135087,6.073383194325429,1.2146766388650858,8.112402093098231e-10,0.3009077315613513,1.5221643095454045e-21,2.366352892535225e-21,1.554597540946114,0.9265448932429323,3.323277852686589,5728.655004397443,3.906723788221886,6.033669218271749e-05,9.244687136595031e-21,1.848937427319006e-21,2.596625728392332,8.828532487085921,1.765706497417184,5.679139342763244,1.1358278685526486,6.07338319432543,1.2146766388650858,3.906723788221886
9,7.008044508286467,overdensity_lt_2.5527638191,1654277,62266554036.40604,0.9729149067671458,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,7.859719209491656e-05,9.347669558979011e-09,3.0107549070749094e-09,7.859418134000893e-05,8.48281345703794e-05,1.7297849614429692e-28,4.527670903986475e-56,1.5131800897299261,1.5131754603057948,6.015757760591001e-05,2.5889174251751133,1.6823161565784562e-21,2.642644794499569e-21,9.217243500487596e-21,1.8434487000975197e-21,1.5134309675478377,1.5134309675478377,0.9735763918196184,1.5134309675478377,2.377353657685223,2.377353657685223,1.5293300095996565,0.6405718626687507,0.6405718626687507,0.41207405962406524,9.73349749305257e+17,6.261470507918551e+17,8.29193828670004,1.6583876573400085,8.29193828670004,1.6583876573400085,5.334128567116955,1.0668257134233912,1.5708371961868675,5.478900897696837,1.0957801795393676,1.5708371961868672,0.26944744236852897,5.478900897696836,1.0957801795393676,8.112402093098231e-10,0.26944744236852586,1.6823161565784562e-21,2.642644794499569e-21,1.5708371961868675,0.926510782514045,3.711298913100427,5728.655004397443,3.487885893583758,6.015757760591001e-05,9.217243500487596e-21,1.8434487000975197e-21,2.5889174251751133,8.29193828670004,1.6583876573400085,5.334128567116955,1.0668257134233912,5.478900897696837,1.0957801795393676,3.487885893583758
9,7.008044508286467,overdensity_lt_3.06030150754,1701328,62659673168.165924,0.9790573932005676,42.9921466750592,proper pMpc/h,1.9566357400504247e+26,redshift_table,8.777349455745149e-13,6.3e-18,0,5995849160.0,8.041328640638064e-05,1.0140219855537956e-08,3.273490736260292e-09,8.041001291564351e-05,8.679083179972085e-05,1.7697544471993008e-28,4.911559758353996e-56,1.5681709621281208,1.5681649690234005,6.003514295764465e-05,2.5836483766702707,1.825075838502837e-21,2.873257213230083e-21,9.19848426830323e-21,1.839696853660646e-21,1.5684917717916584,1.5684917717916584,1.009024642690974,1.5684917717916584,2.469311248396876,2.469311248396876,1.588529786968763,0.6119475310594902,0.6119475310594902,0.39367126431756877,9.29855041498661e+17,5.981839802263328e+17,7.905286226146159,1.5810572452292317,7.905286226146159,1.5810572452292317,5.085540614979098,1.0171081229958197,1.5743220926025188,5.040055911237647,1.0080111822475295,1.574322092602519,0.24782114099904504,5.040055911237647,1.0080111822475295,8.112402093098231e-10,0.24782114099904307,1.825075838502837e-21,2.873257213230083e-21,1.5743220926025188,0.926480496248708,4.035168250653245,5728.655004397443,3.201413443233785,6.003514295764465e-05,9.19848426830323e-21,1.839696853660646e-21,2.5836483766702707,7.905286226146159,1.5810572452292317,5.085540614979098,1.0171081229958197,5.040055911237647,1.0080111822475295,3.201413443233785
