snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,photon_photoionization_rate_ratio_g0
6,8.488938466790612,all-gas,2091359,63999999999.5563,1.0,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.00016287017317909207,3.084842789961533e-07,3.264042277291282e-07,0.00016254376895136292,0.00017534073177324504,3.584510099443629e-28,1.4962179040442345e-54,11.644885713070487,11.629202154032761,9.011586751295668e-06,15.28055729502633,3.7745450393829345e-20,3.63562517381327e-20,4.510191801418224e-21,4.510191801418224e-21,10.04235714003306,10.04235714003306,5.0869559395905775,10.04235714003306,9.67275421058331,9.67275421058331,4.899733578242822,0.07852842152549624,0.07852842152549624,0.039778571378759044,1.1183091699412548e+16,5664795022727649.0,1.1999580444083242,1.1999580444083242,1.1999580444083242,1.1999580444083242,0.607838739067422,0.607838739067422,0.9631955999676254,0.11948968032861394,0.11948968032861394,0.9631955999676255,0.008118517209873426,0.11948968032861396,0.11948968032861396,2.6499183401943712e-09,0.008118517209873423,3.7745450393829345e-20,3.63562517381327e-20,0.9631955999676254,0.9270165996658924,123.17520233668276,222.55101703211648,0.12405546737612816,9.011586751295668e-06,4.510191801418224e-21,4.510191801418224e-21,15.28055729502633,1.1999580444083242,1.1999580444083242,0.607838739067422,0.607838739067422,0.11948968032861394,0.11948968032861394,0.12405546737612816
6,8.488938466790612,overdensity_lt_-1,0,0.0,0.0,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8.488938466790612,overdensity_lt_-0.492462311558,255623,19334920125.121544,0.3021081269571186,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,6.276061755643134e-05,4.087677070508984e-09,1.5020374710169282e-09,6.275911551895936e-05,6.771477743242003e-05,1.381247280238526e-28,1.9799081337866575e-56,1.0377725237300304,1.0377725098181836,9.098403708358989e-06,15.427769048427603,5.816181697731746e-22,1.673031406373706e-22,4.5536426540568856e-21,4.5536426540568856e-21,1.03777185098018,1.03777185098018,0.5278858601098161,1.03777185098018,0.2985162757239041,0.2985162757239041,0.15184697948634351,0.5266471503881625,0.5266471503881625,0.2678908506667025,7.49988763509393e+16,3.814985568590207e+16,8.12499060620109,8.12499060620109,8.12499060620109,8.12499060620109,4.132958174272693,4.132958174272693,0.28765115901144767,7.829264783513834,7.829264783513834,0.2876511590114476,1.7642158676642985,7.829264783513834,7.829264783513834,2.6499183401943712e-09,1.764215867664267,5.816181697731746e-22,1.673031406373706e-22,0.28765115901144767,0.9268156508613431,0.56682405953187,222.55101703211648,27.21791495789611,9.098403708358989e-06,4.5536426540568856e-21,4.5536426540568856e-21,15.427769048427603,8.12499060620109,8.12499060620109,4.132958174272693,4.132958174272693,7.829264783513834,7.829264783513834,27.21791495789611
6,8.488938466790612,overdensity_lt_0.0150753768844,909048,46590325128.61847,0.7279738301397105,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,9.388521529479227e-05,9.872315565169431e-09,3.6039683917878586e-09,9.388161132639899e-05,0.0001012976483784597,2.066243480439932e-28,4.781758468355724e-56,1.1200170736137813,1.120017003486773,8.969124184452504e-06,15.208555359801375,1.4046898528493315e-21,4.0142489274631986e-22,4.48893979262902e-21,4.48893979262902e-21,1.120017317330268,1.120017317330268,0.5697213734391949,1.120017317330268,0.32007266982909477,0.32007266982909477,0.16281198355936688,0.23534236313164503,0.23534236313164503,0.11971205469517705,3.3514683939026268e+16,1.7047979052356174e+16,3.5792173581941014,3.5792173581941014,3.5792173581941014,3.5792173581941014,1.8206474110671704,1.8206474110671704,0.285774750869064,3.1956803728050485,3.1956803728050485,0.285774750869064,0.7352779081616305,3.1956803728050485,3.1956803728050485,2.6499183401943712e-09,0.7352779081616191,1.4046898528493315e-21,4.0142489274631986e-22,0.285774750869064,0.9267896424964028,1.3600299817252133,222.55101703211648,11.182514771115109,8.969124184452504e-06,4.48893979262902e-21,4.48893979262902e-21,15.208555359801375,3.5792173581941014,3.5792173581941014,1.8206474110671704,1.8206474110671704,3.1956803728050485,3.1956803728050485,11.182514771115109
6,8.488938466790612,overdensity_lt_0.522613065327,1271333,55605938149.0003,0.8688427835841532,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.00011075187266798839,1.4710095443247788e-08,5.477964017561883e-09,0.0001107463947039698,0.00011949856809977757,2.4374482784803765e-28,7.124989296883052e-56,1.199260137785402,1.1992599598148461,8.825061018020551e-06,14.964273688934712,2.093073066598386e-21,6.101582697641694e-22,4.4168378942553146e-21,4.4168378942553146e-21,1.1992681000386398,1.1992681000386398,0.6100405628631397,1.1992681000386398,0.3496023911349409,0.3496023911349409,0.17783483064327932,0.16911717292670417,0.16911717292670417,0.08602608153982041,2.408367335093701e+16,1.225082001792947e+16,2.5307156611741006,2.5307156611741006,2.5307156611741006,2.5307156611741006,1.2873178285484868,1.2873178285484868,0.2915131246496733,2.110216773957852,2.110216773957852,0.2915131246496733,0.48374146520476075,2.1102167739578515,2.1102167739578515,2.6499183401943712e-09,0.4837414652047659,2.093073066598386e-21,6.101582697641694e-22,0.2915131246496733,0.9267591776622798,2.0672199344678956,222.55101703211648,7.238839680010327,8.825061018020551e-06,4.4168378942553146e-21,4.4168378942553146e-21,14.964273688934712,2.5307156611741006,2.5307156611741006,1.2873178285484868,1.2873178285484868,2.110216773957852,2.110216773957852,7.238839680010327
6,8.488938466790612,overdensity_lt_1.03015075377,1475249,59234983982.689224,0.9255466247359359,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.00012122202882536359,1.870229357218546e-08,6.942114390628392e-09,0.00012121508671097293,0.00013079877516663702,2.667877733924532e-28,9.058655447412328e-56,1.2727171502394774,1.2727167895894111,8.742415778924357e-06,14.824135736982026,2.6611929458605583e-21,7.732413888647731e-22,4.375474936755703e-21,4.375474936755703e-21,1.272741486454294,1.272741486454294,0.6474254203722836,1.272741486454294,0.36981023724061124,0.36981023724061124,0.1881171870734605,0.14116260189812307,0.14116260189812307,0.07180739989025231,2.0102713016354652e+16,1.0225963059863042e+16,2.0926135715233327,2.0926135715233327,2.0926135715233327,2.0926135715233327,1.0644826428928484,1.0644826428928484,0.29056194142838737,1.644178015563164,1.644178015563164,0.2905619414283873,0.3817163174049123,1.644178015563164,1.644178015563164,2.6499183401943712e-09,0.3817163174049202,2.6611929458605583e-21,7.732413888647731e-22,0.29056194142838737,0.9267295244664598,2.6197465353287788,222.55101703211648,5.658614502231334,8.742415778924357e-06,4.375474936755703e-21,4.375474936755703e-21,14.824135736982026,2.0926135715233327,2.0926135715233327,1.0644826428928484,1.0644826428928484,1.644178015563164,1.644178015563164,5.658614502231334
6,8.488938466790612,overdensity_lt_1.53768844221,1600199,60973011422.66853,0.9527033034858008,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.0001281581632320767,2.197319588603796e-08,8.03998985753185e-09,0.00012815012324221878,0.00013828598030413006,2.820529833256851e-28,1.0642956561186018e-55,1.3378298881672823,1.337829223545662,8.693170030746815e-06,14.740631854998625,3.126721179904795e-21,8.955272952991305e-22,4.350828026526145e-21,4.350828026526145e-21,1.3378769311479308,1.3378769311479308,0.6805704479102163,1.3378769311479308,0.38318265066106355,0.38318265066106355,0.19492285285767355,0.12629403166221617,0.12629403166221617,0.06424506148184543,1.7985306590028908e+16,9149024007220224.0,1.8616538262162685,1.8616538262162685,1.8616538262162685,1.8616538262162685,0.9470127998056359,0.9470127998056359,0.2864109857491029,1.3914985622922167,1.3914985622922167,0.2864109857491029,0.3295922491384585,1.3914985622922165,1.3914985622922165,2.6499183401943712e-09,0.32959224913846524,3.126721179904795e-21,8.955272952991305e-22,0.2864109857491029,0.9267036539812665,3.034051931178422,222.55101703211648,4.858398006811004,8.693170030746815e-06,4.350828026526145e-21,4.350828026526145e-21,14.740631854998625,1.8616538262162685,1.8616538262162685,0.9470127998056359,0.9470127998056359,1.3914985622922167,1.3914985622922167,4.858398006811004
6,8.488938466790612,overdensity_lt_2.04522613065,1682207,61910070423.85723,0.9673448503794757,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.00013298816103775665,2.4676897242619634e-08,8.899147162342907e-09,0.00013297926189059276,0.0001435006119235547,2.926829642645054e-28,1.1952528518212558e-55,1.395291340234838,1.3952903524869429,8.665219847051531e-06,14.6932379392378,3.511574459192034e-21,9.912237863454683e-22,4.3368392925961885e-21,4.3368392925961885e-21,1.3953668504418113,1.3953668504418113,0.7098268136711993,1.3953668504418113,0.393874835606966,0.393874835606966,0.20036517239580154,0.11728496355611814,0.11728496355611814,0.05966317169296534,1.6702341355282192e+16,8496525298214443.0,1.7232958762248776,1.7232958762248776,1.7232958762248776,1.7232958762248776,0.8766451778943369,0.8766451778943369,0.28227332151559603,1.2350127679177951,1.2350127679177951,0.28227332151559603,0.2977721675856254,1.2350127679177951,1.2350127679177951,2.6499183401943712e-09,0.29777216758563174,3.511574459192034e-21,9.912237863454683e-22,0.28227332151559603,0.9266808002284558,3.35827222573589,222.55101703211648,4.3752373100181865,8.665219847051531e-06,4.3368392925961885e-21,4.3368392925961885e-21,14.6932379392378,1.7232958762248776,1.7232958762248776,0.8766451778943369,0.8766451778943369,1.2350127679177951,1.2350127679177951,4.3752373100181865
6,8.488938466790612,overdensity_lt_2.5527638191,1739817,62469913020.11276,0.9760923909460291,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.0001365442805039494,2.6976142124047616e-08,9.597761329301848e-09,0.0001365346827426191,0.00014734068406761688,3.005093774111661e-28,1.3066200714718355e-55,1.4468825130007772,1.4468810022308074,8.648458653934017e-06,14.664816710120922,3.8389083436426344e-21,1.0690383192591175e-21,4.32845051514035e-21,4.32845051514035e-21,1.4469924548822535,1.4469924548822535,0.7361006426808431,1.4469924548822535,0.4029505899794802,0.4029505899794802,0.20498530400191795,0.1112536686361241,0.1112536686361241,0.05659593918913453,1.5843435460496118e+16,8059726217226652.0,1.6315146588772886,1.6315146588772886,1.6315146588772886,1.6315146588772886,0.8299690747458075,0.8299690747458075,0.27847456192317854,1.1275211929215279,1.1275211929215279,0.2784745619231785,0.2760975449664674,1.1275211929215279,1.1275211929215279,2.6499183401943712e-09,0.27609754496647076,3.8389083436426344e-21,1.0690383192591175e-21,0.27847456192317854,0.9266597586852607,3.621908337219876,222.55101703211648,4.048919891047614,8.648458653934017e-06,4.32845051514035e-21,4.32845051514035e-21,14.664816710120922,1.6315146588772886,1.6315146588772886,0.8299690747458075,0.8299690747458075,1.1275211929215279,1.1275211929215279,4.048919891047614
6,8.488938466790612,overdensity_lt_3.06030150754,1782674,62831600069.25713,0.981743751088949,13.16152182440287,proper pMpc/h,5.99000189260609e+25,redshift_table,1.113841324638219e-13,6.3e-18,0,29979245800.0,0.0001392839463814473,2.8983464283404202e-08,1.0186572924302374e-08,0.00013927375980851938,0.00015029962889448963,3.0653891909628398e-28,1.4038477068113226e-55,1.4939936567936303,1.4939916397157245,8.637826115346955e-06,14.64678757501352,4.124722236321054e-21,1.134622587952896e-21,4.3231290562577915e-21,4.3231290562577915e-21,1.4941413694272525,1.4941413694272525,0.7600970758833014,1.4941413694272525,0.41100623271522474,0.41100623271522474,0.20908639707660845,0.10691848594220327,0.10691848594220327,0.054391391728676325,1.5226069866510728e+16,7745780566377083.0,1.5660123514375204,1.5660123514375204,1.5660123514375204,1.5660123514375204,0.7966591605592696,0.7966591605592696,0.27507854418941313,1.048101862033188,1.048101862033188,0.27507854418941313,0.2601383566275119,1.0481018620331877,1.0481018620331877,2.6499183401943712e-09,0.26013835662751617,4.124722236321054e-21,1.134622587952896e-21,0.27507854418941313,0.9266407431138076,3.844108239031694,222.55101703211648,3.8101912496362766,8.637826115346955e-06,4.3231290562577915e-21,4.3231290562577915e-21,14.64678757501352,1.5660123514375204,1.5660123514375204,0.7966591605592696,0.7966591605592696,1.048101862033188,1.048101862033188,3.8101912496362766
