simulation,redshift,nHI_V_cm^-3,dnHI_dt_cm^-3_Gyr^-1
output_4_128_sl,15.019308760790565,0.0007415539197977707,-0.0055264946298161765
output_4_128_sl,13.00228991319704,0.0004596032332008067,-0.0037081155007405338
output_4_128_sl,10.991143458258536,0.00021261123728209382,-0.0020697090881944278
output_4_128_sl,9.002010318632912,2.7128315973189225e-05,-0.0007392206061674753
output_4_128_sl,8.488938466790612,3.264042277291282e-07,-0.0002748738608506031
output_4_128_sl,8.002185596509696,5.334700406113522e-08,-2.8604290230095847e-06
output_4_128_sl,7.490577302439746,3.4706660635619187e-08,-2.297285435352932e-07
output_4_128_sl,7.008044508286467,2.4690114512577814e-08,-1.2062419469696348e-07
output_4_128_sl,6.508871321569112,1.7906215847044525e-08,-5.679790641117735e-08
output_4_128_sl,5.999737786268797,1.5165011312445815e-08,-3.951989803501886e-08
output_4_128_sl,5.506064190062856,1.0064047688693816e-08,-4.185802303425329e-08
output_4_128_sl,4.994366670428263,5.088419397683497e-09,-1.4653927661814814e-08
output_4_128_sl,4.50678003003574,5.505936868718719e-09,8.451980999127379e-08
output_4_128_sl,4.000000000000003,3.674093566738942e-08,1.337746532538338e-07
output_4_128_rsl,15.019308760790565,0.0007602140236948663,-0.006075076959296012
output_4_128_rsl,13.00228991319704,0.0004502757654431107,-0.0038404814192436465
output_4_128_rsl,10.991143458258536,0.0002122858458059394,-0.0019390951927513445
output_4_128_rsl,9.002010318632912,4.494983844877077e-05,-0.0007937195825428754
output_4_128_rsl,8.488938466790612,1.4054810873597668e-05,-0.0004661394940608443
output_4_128_rsl,8.002185596509696,4.903782778026624e-07,-0.00013536992008632048
output_4_128_rsl,7.490577302439746,3.17450269497307e-07,-1.7997805275082343e-06
output_4_128_rsl,7.008044508286467,2.6289951144235907e-07,-9.831065551049168e-07
output_4_128_rsl,6.508871321569112,1.7862360639030442e-07,-9.583556149816474e-07
output_4_128_rsl,5.999737786268797,1.0096488544772332e-07,-5.164857860549407e-07
output_4_128_rsl,5.506064190062856,7.363224691249897e-08,-1.7436373896291676e-07
output_4_128_rsl,4.994366670428263,5.9442210386342856e-08,-9.742230578614935e-08
output_4_128_rsl,4.50678003003574,4.506712930045521e-08,-6.363191805508102e-08
output_4_128_rsl,4.000000000000003,3.674093566738942e-08,-3.565979539064549e-08
