file_type,source_path,canonical_path,simulation,particle,backend,snapshot,grid,threads,batch,run,mas,filter_type,source_campaign,log_path,sha256,total_seconds
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid128_threads16_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid128\threads16_batch10_run001.json,Thesan-1,dm,pylians,081,128,16,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,ae65491526fe85edb092ea64caddceb66898548058b0aab890d4e21d36901b50,10337.628419625573
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid128_threads1_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid128\threads1_batch10_run001.json,Thesan-1,dm,pylians,081,128,1,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,ce98d5724e7d24c44146107e9cd63bbdf48121c0c760e3547a1ff2d92cdf4a1e,19778.811341792345
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid128_threads2_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid128\threads2_batch10_run001.json,Thesan-1,dm,pylians,081,128,2,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,5931886dd542671cf555647c8917c7460b389a9688c5d50fc515f0ad6726848d,9450.461134560406
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid128_threads4_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid128\threads4_batch10_run001.json,Thesan-1,dm,pylians,081,128,4,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,24d4da2dc5181f1d084ff1b297b4f2c61c4119ef11a36000429bd3fbfdb87bf1,10295.653452192433
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid128_threads8_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid128\threads8_batch10_run001.json,Thesan-1,dm,pylians,081,128,8,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,6c8c430a44688b11191a07e561d1502653daf90852738681129aff27ebf26858,7835.75897250697
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid256_threads16_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid256\threads16_batch10_run001.json,Thesan-1,dm,pylians,081,256,16,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,d770e866d71c417c01b38952bd981d5a46b290cd42f06002f14f957782932767,5699.3461974821985
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid256_threads1_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid256\threads1_batch10_run001.json,Thesan-1,dm,pylians,081,256,1,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,8d3a0efe362e685dc15d47876d3d635f0d8d420e1182d4c0b858c71f089536e1,19781.272698648274
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid256_threads2_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid256\threads2_batch10_run001.json,Thesan-1,dm,pylians,081,256,2,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,f8078190b60b0deac13ad972554f06fbaa3a0d9db6b2783f8ea6b5b7c27ac8d9,28866.44183352124
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid256_threads4_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid256\threads4_batch10_run001.json,Thesan-1,dm,pylians,081,256,4,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,5af0fc075c91f504383ad701c322852418d077fff45eb9dab466378553ab7246,10298.442015331239
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid256_threads8_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid256\threads8_batch10_run001.json,Thesan-1,dm,pylians,081,256,8,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,a917a3ab0da39f18db6394d9c97ef9861914d3df46ecd199fb4c477db3f9caed,14546.01953264419
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid512_threads16_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid512\threads16_batch10_run001.json,Thesan-1,dm,pylians,081,512,16,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,5de0aface7b4b4af1603b6df6b6088cd9c1d7bcb89eb115d3e6fbcc014b1b4e6,6086.385546233505
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid512_threads1_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid512\threads1_batch10_run001.json,Thesan-1,dm,pylians,081,512,1,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,30af6537bf7d84b029eaa19128bbcb3efdb99dcbe83c0daf6b020147292a3865,31416.581444830634
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid512_threads2_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid512\threads2_batch10_run001.json,Thesan-1,dm,pylians,081,512,2,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,7ecce1bfd7c3dab8500f2472acee442b0f6153bf7bf9e3b60c79a56fd9f3e83c,28897.482586049475
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid512_threads4_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid512\threads4_batch10_run001.json,Thesan-1,dm,pylians,081,512,4,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,72e788249d99a52ffcadfe05cc2954fa19fd14e7d275f7add86d6b7b4c4ae7ac,10326.893550628796
json,results\Thesan-1-dm-pylians-grid-thread-scaling\dm_pylians_snapshot081_grid512_threads8_batch10_run1.json,results\thesan\Thesan-1\dm\pylians\snapshot081_grid512\threads8_batch10_run001.json,Thesan-1,dm,pylians,081,512,8,10,1,CIC,Top-Hat,Thesan-1-dm-pylians-grid-thread-scaling,,64f7f9abf3d27ec55a6633e017c17e38fd693fe878ba67c4ec0f3b0e53d08d08,14581.486300899647
