file_type,source_path,canonical_path,simulation,particle,backend,snapshot,grid,threads,batch,run,mas,filter_type,source_campaign,log_path,sha256,total_seconds
json,results\dm_cube_1024.json,results\tng\tng100-3\dm\cube\snapshot098_grid1024\threads1_batch1_run002.json,tng100-3,dm,cube,98,1024,1,1,1,,,results,,71438cb58179ca4979b4122ff3944925e2bc82737b872e1a993a18bbe87cacb9,248.07055538706481
json,results\dm_cube_256.json,results\tng\tng100-3\dm\cube\snapshot098_grid256\threads1_batch1_run002.json,tng100-3,dm,cube,98,256,1,1,1,,,results,,2f789b142c2232d076300567436512189fff133239c3ef09fa9478c732303e67,32.895498253405094
json,results\dm_cube_512.json,results\tng\tng100-3\dm\cube\snapshot098_grid512\threads1_batch1_run002.json,tng100-3,dm,cube,98,512,1,1,1,,,results,,d3d34cbc6f5f4f871f4c0f25a707046432f6f34c5101df8a598fd463949ccb00,59.35952238924801
json,results\dm_pylians_1024.json,results\tng\tng100-3\dm\pylians\snapshot098_grid1024\threads1_batch1_run002.json,tng100-3,dm,pylians,98,1024,1,1,1,CIC,Top-Hat,results,,c8784b2a36c6ca9ac2f8599a7906ae4d5498cff0f5fbcf71f31e3dc510be46fd,345.0749844852835
json,results\dm_pylians_256.json,results\tng\tng100-3\dm\pylians\snapshot098_grid256\threads1_batch1_run002.json,tng100-3,dm,pylians,98,256,1,1,1,CIC,Top-Hat,results,,cd2a0c42a8c1f46062b283512b8f11c2c6c26297c6ad1582bd7ea85b6ba1b22c,37.410633062943816
json,results\dm_pylians_512.json,results\tng\tng100-3\dm\pylians\snapshot098_grid512\threads1_batch1_run002.json,tng100-3,dm,pylians,98,512,1,1,1,CIC,Top-Hat,results,,cc4a323a191f7f8425f9503f64c2b1054fb6dd29757958b17bd8b72126775be2,70.93402052111924
json,results\dm_sphere_1024.json,results\tng\tng100-3\dm\sphere\snapshot098_grid1024\threads1_batch1_run002.json,tng100-3,dm,sphere,98,1024,1,1,1,,,results,,234c01c383b6eb08fe30f0433605f22ffc1b5aa57e445d485d7a9284ee10ee26,262.8376613352448
json,results\dm_sphere_256.json,results\tng\tng100-3\dm\sphere\snapshot098_grid256\threads1_batch1_run002.json,tng100-3,dm,sphere,98,256,1,1,1,,,results,,b499620906fc20e11be26b41220af8934a65f4a5c0cd293f29d622928bba4532,32.96887408569455
json,results\dm_sphere_512.json,results\tng\tng100-3\dm\sphere\snapshot098_grid512\threads1_batch1_run002.json,tng100-3,dm,sphere,98,512,1,1,1,,,results,,9a2236aaed188d28891b911e32b0ae1883cfb3d89a545a80f189f536c4c1014f,42.00721344910562
json,results\gas_cube_1024.json,results\tng\tng100-3\gas\cube\snapshot098_grid1024\threads1_batch1_run002.json,tng100-3,gas,cube,98,1024,1,1,1,,,results,,9c7c281a88a7861f67cd24971d0ea4133086ce3189f12949bad14d42716e0040,459.0955341886729
json,results\gas_cube_256.json,results\tng\tng100-3\gas\cube\snapshot098_grid256\threads1_batch1_run004.json,tng100-3,gas,cube,98,256,1,1,1,,,results,,c1edbdccf243735ac0cdbbafb6825b57608b6772ae16da4d1b5600039d9e4522,51.00258161872625
json,results\gas_cube_256_diag.json,results\tng\tng100-3\gas\cube\snapshot098_grid256\threads1_batch1_run005.json,tng100-3,gas,cube,98,256,1,1,2,,,results,,772767a9fb83ec4cd3445e733d9bcfb051f8ddaca06e3a91105fcff55a1d2c80,33.865602146834135
json,results\gas_cube_512.json,results\tng\tng100-3\gas\cube\snapshot098_grid512\threads1_batch1_run004.json,tng100-3,gas,cube,98,512,1,1,1,,,results,,e42e82735949b1eba2c337c650c92ba34f27ae4c10b70322ad571a42787748e3,83.21184141002595
