snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,photon_photoionization_rate_ratio_g0
55,6.951471201956868,all-gas,1155689566,270735806355013.28,1.0,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,9.561858594840566e-05,3.5371508564930727e-07,3.962606718695128e-05,5.599251876145437e-05,6.033138564464121e-05,2.1044270880327782e-28,1.7439725286113525e-54,39.37965189916199,38.68734699577591,3.1592274672561317e-06,1.3522084994345804,8.067009447971663e-20,3.497111302604519e-18,1.1713494581148255e-19,2.3426989162296514e-20,92.2018207493944,92.2018207493944,31.54310286965839,92.2018207493944,3997.0206002981204,3997.0206002981204,1367.418028652926,19.801575544703425,19.801575544703425,6.774303688487567,513820092596087.5,175782646215934.3,133.87929376871952,26.775858753743908,133.87929376871952,26.775858753743908,45.80135512661958,9.160271025323919,43.350777325342285,1.4520244034291359,0.2904048806858272,43.350777325342285,0.004954083935225781,1.4520244034291359,0.2904048806858272,1.9631086286705285e-07,0.004954083935225783,8.067009447971663e-20,3.497111302604519e-18,43.350777325342285,0.9280827576422118,201.85366519318464,2.380251781754664,0.03349477202062307,3.1592274672561317e-06,1.1713494581148255e-19,2.3426989162296514e-20,1.3522084994345804,133.87929376871952,26.775858753743908,45.80135512661958,9.160271025323919,1.4520244034291359,0.2904048806858272,0.03349477202062307
55,6.951471201956868,overdensity_lt_-1,0,0.0,0.0,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6.951471201956868,overdensity_lt_-0.869346733668,222,408573292.17104334,1.5091217437093823e-06,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,1.20933796168518e-05,1.463800947774539e-10,8.61296049798442e-06,3.4804191188673802e-06,3.7563495581271705e-06,2.661565273193955e-29,7.090239659431524e-58,1.000890742317279,1.000890696554457,1.2872974623007656e-06,0.5509874131777851,1.1597809246341888e-23,7.601178629280202e-19,4.7729237623026226e-20,9.545847524605245e-21,3.42514255547583,3.42514255547583,0.2835026157629691,3.42514255547583,224483.08850339905,224483.08850339905,18580.698979526846,5116.529770858236,5116.529770858236,423.5004967452809,1.3276599100399474e+17,1.0989179318630242e+16,14095.717514461527,2819.143502892305,14095.717514461527,2819.143502892305,1166.7172159059467,233.34344318118931,65539.77969311507,4115.366670483971,823.0733340967942,65539.77969311507,0.02279249543905292,4115.366670483972,823.0733340967942,1.9631086286705285e-07,0.022792495439052922,1.1597809246341888e-23,7.601178629280202e-19,65539.77969311507,0.9265429281833497,43.87409016594947,2.380251781754664,0.06279189050915117,1.2872974623007656e-06,4.7729237623026226e-20,9.545847524605245e-21,0.5509874131777851,14095.717514461527,2819.143502892305,1166.7172159059467,233.34344318118931,4115.366670483971,823.0733340967942,0.06279189050915117
55,6.951471201956868,overdensity_lt_-0.738693467337,6504034,6290934659510.402,0.02323643386594073,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,2.2351752989705812e-05,5.04021144173895e-10,1.4674951368964979e-05,7.676801620740842e-06,8.283584847151445e-06,4.919212463169425e-29,2.4412748395039546e-57,1.0088474822401154,1.008847627776137,1.4053080376327672e-06,0.6014981486791107,4.7376906570761297e-23,1.295105518684391e-18,5.2104725773204166e-20,1.0420945154640833e-20,2.876525931050958,2.876525931050958,0.33901584913686483,2.876525931050958,78633.34433578212,78633.34433578212,9267.411676253165,1051.8998863141182,1051.8998863141182,123.97271629512557,2.7295166274398052e+16,3216899201901560.0,3163.5791710685457,632.7158342137092,3163.5791710685457,632.7158342137092,372.8467966911933,74.56935933823864,27336.21953029045,1099.7916399497608,219.95832798995215,27336.21953029045,0.01337727519030945,1099.7916399497608,219.95832798995215,1.9631086286705285e-07,0.013377275190309446,4.7376906570761297e-23,1.295105518684391e-18,27336.21953029045,0.9267487159717736,74.75363897158998,2.380251781754664,0.04023203130671066,1.4053080376327672e-06,5.2104725773204166e-20,1.0420945154640833e-20,0.6014981486791107,3163.5791710685457,632.7158342137092,372.8467966911933,74.56935933823864,1099.7916399497608,219.95832798995215,0.04023203130671066
55,6.951471201956868,overdensity_lt_-0.608040201005,68020681,47110910428635.375,0.17401063813058879,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,3.074744433850861e-05,9.672227399125355e-10,1.8323641473432587e-05,1.2423802865076026e-05,1.34049222044488e-05,6.766941921979115e-29,4.6848245291970845e-57,1.0230772577414475,1.0230773042981984,1.7489918798439125e-06,0.7486012672019043,1.0778059491117527e-22,1.6171126294035882e-18,6.48475208555251e-20,1.2969504171105018e-20,2.498745142356858,2.498745142356858,0.40756699643130057,2.498745142356858,37490.53649867333,37490.53649867333,6115.03153977123,401.6559470492946,401.6559470492946,65.51356725530013,1.0422347223771316e+16,1699975192247889.8,1503.4007547014148,300.68015094028294,1503.4007547014148,300.68015094028294,245.21769733117435,49.04353946623487,15003.74562541886,601.6623020959162,120.33246041918322,15003.74562541886,0.010713528921185426,601.6623020959162,120.33246041918322,1.9631086286705285e-07,0.010713528921185432,1.0778059491117527e-22,1.6171126294035882e-18,15003.74562541886,0.926809023998128,93.33992630780631,2.380251781754664,0.040100806633018314,1.7489918798439125e-06,6.48475208555251e-20,1.2969504171105018e-20,0.7486012672019043,1503.4007547014148,300.68015094028294,245.21769733117435,49.04353946623487,601.6623020959162,120.33246041918322,0.040100806633018314
55,6.951471201956868,overdensity_lt_-0.477386934673,174885667,98848932422199.31,0.36511215030264466,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,3.749010913944931e-05,1.4640053026189175e-09,2.1033331150138954e-05,1.645677798931033e-05,1.7755701962790787e-05,8.250880344202784e-29,7.091038736603983e-57,1.0416199275916944,1.0416198325023445,1.971042620718911e-06,0.8436431412768032,1.7828458964585598e-22,1.856250325058663e-18,7.308051508255451e-20,1.4616103016510904e-20,2.355761852061438,2.355761852061438,0.4534786830718805,2.355761852061438,24527.547290184342,24527.547290184342,4721.495865298521,228.92350898572315,228.92350898572315,44.06724359179075,5940209066643098.0,1143476443663331.5,965.6487411641197,193.12974823282397,965.6487411641197,193.12974823282397,185.88513905594212,37.17702781118843,10411.726155053073,409.9093209778896,81.98186419557793,10411.726155053073,0.009333322499691432,409.9093209778896,81.98186419557793,1.9631086286705285e-07,0.009333322499691446,1.7828458964585598e-22,1.856250325058663e-18,10411.726155053073,0.9268446848115321,107.14298150878847,2.380251781754664,0.03936996756094572,1.971042620718911e-06,7.308051508255451e-20,1.4616103016510904e-20,0.8436431412768032,965.6487411641197,193.12974823282397,185.88513905594212,37.17702781118843,409.9093209778896,81.98186419557793,0.03936996756094572
55,6.951471201956868,overdensity_lt_-0.346733668342,282721072,139756673878550.69,0.5162105292245278,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,4.2896605236705145e-05,1.9559154559161047e-09,2.3028238172401046e-05,1.9868367064304072e-05,2.143607376237806e-05,9.440753915335905e-29,9.47365779420026e-57,1.0629292014573297,1.062928936330446,2.130425239297675e-06,0.9118618858078918,2.529333837525057e-22,2.0323064515040134e-18,7.898995800301965e-20,1.5797991600603926e-20,2.2929731657137014,2.2929731657137014,0.4914018487433412,2.2929731657137014,18423.918933395333,18423.918933395333,3948.3880406205903,157.060014584275,157.060014584275,33.65917346282867,4075463139518765.5,873403209069615.9,716.08520541916,143.217041083832,716.08520541916,143.217041083832,153.46258694274954,30.6925173885499,8034.947468589664,312.29550180814016,62.45910036162802,8034.947468589664,0.008524788626788129,312.29550180814016,62.45910036162802,1.9631086286705285e-07,0.008524788626788137,2.529333837525057e-22,2.0323064515040134e-18,8034.947468589664,0.9268659589693411,117.30496130515408,2.380251781754664,0.03886714916668346,2.130425239297675e-06,7.898995800301965e-20,1.5797991600603926e-20,0.9118618858078918,716.08520541916,143.217041083832,153.46258694274954,30.6925173885499,312.29550180814016,62.45910036162802,0.03886714916668346
55,6.951471201956868,overdensity_lt_-0.21608040201,379283292,169942869105848.0,0.6277074000437295,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,4.743310729083364e-05,2.4427119410511647e-09,2.466380376136957e-05,2.2769303529464046e-05,2.456561165489614e-05,1.043915866270739e-28,1.183151306740723e-56,1.0856986328245637,1.085698165386158,2.2465104944296246e-06,0.9615485482199492,3.2902697090812467e-22,2.1766496910273202e-18,8.329406089219937e-20,1.6658812178439872e-20,2.271194912041671,2.271194912041671,0.5228111343736908,2.271194912041671,15024.895041016993,15024.895041016993,3458.6121951014707,119.59023589900484,119.59023589900484,27.528727965567427,3103180650675589.5,714327681672979.1,574.9590885498468,114.99181770996935,574.9590885498468,114.99181770996935,132.3510420481664,26.470208409633273,6615.414186319435,253.1526842991174,50.63053685982347,6615.414186319435,0.007959472300640452,253.15268429911737,50.63053685982347,1.9631086286705285e-07,0.00795947230064045,3.2902697090812467e-22,2.1766496910273202e-18,6615.414186319435,0.926877126013914,125.63646963373888,2.380251781754664,0.038267095176388634,2.2465104944296246e-06,8.329406089219937e-20,1.6658812178439872e-20,0.9615485482199492,574.9590885498468,114.99181770996935,132.3510420481664,26.470208409633273,253.1526842991174,50.63053685982347,0.038267095176388634
55,6.951471201956868,overdensity_lt_-0.0854271356784,463521286,192299808312080.4,0.7102858351138065,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,5.1330124727741175e-05,2.9221194396394516e-09,2.6072363752485815e-05,2.52577609752553e-05,2.725027988894104e-05,1.129682406941552e-28,1.415357981764391e-56,1.1090562349819042,1.109055613440801,2.332988363905293e-06,0.9985626952954538,4.049770718127522e-22,2.3009590513806804e-18,8.650040822233405e-20,1.730008164446681e-20,2.271772591130304,2.271772591130304,0.5494931428347086,2.271772591130304,12907.534944735642,12907.534944735642,3122.05630560176,97.18678929700427,97.18678929700427,23.50740320634601,2521846050228075.0,609980557603108.4,485.23551133763976,97.04710226752795,485.23551133763976,97.04710226752795,117.36807952562934,23.473615905125868,5681.7020308857545,213.59334698910789,42.71866939782158,5681.7020308857545,0.007529461644931827,213.59334698910789,42.71866939782157,1.9631086286705285e-07,0.00752946164493183,4.049770718127522e-22,2.3009590513806804e-18,5681.7020308857545,0.926880790883386,132.81162016053457,2.380251781754664,0.03759319757143433,2.332988363905293e-06,8.650040822233405e-20,1.730008164446681e-20,0.9985626952954538,485.23551133763976,97.04710226752795,117.36807952562934,23.473615905125868,213.59334698910789,42.71866939782158,0.03759319757143433
55,6.951471201956868,overdensity_lt_0.0452261306533,530448950,207733529313292.1,0.7672924099329997,0.1775046627261325,proper pMpc/h,8.085653356720008e+23,redshift_table,8.825279799041233e-14,6.3e-18,0,5995849160.0,5.4452749696773465e-05,3.3535506561881035e-09,2.714091214470309e-05,2.7311837552070298e-05,2.9466517303240583e-05,1.1984058958745831e-28,1.6243267252217023e-56,1.1310075808212419,1.1310068635950188,2.4012824000219533e-06,1.0277938212763402,4.757023738544922e-22,2.3952614367820127e-18,8.90325520146645e-20,1.78065104029329e-20,2.2822111615394753,2.2822111615394753,0.5735511682597079,2.2822111615394753,11491.412879728618,11491.412879728618,2887.9506827392233,83.11766258826178,83.11766258826178,20.888615954518535,2156774090579602.2,542027100809446.0,427.13910023573544,85.42782004714708,427.13910023573544,85.42782004714708,107.34595206534267,21.469190413068535,5035.210182732188,187.1602012267817,37.43204024535634,5035.210182732187,0.00723302377681383,187.1602012267817,37.43204024535634,1.9631086286705285e-07,0.007233023776813836,4.757023738544922e-22,2.3952614367820127e-18,5035.210182732188,0.9268770133573497,138.2547646539747,2.380251781754664,0.03717028573477057,2.4012824000219533e-06,8.90325520146645e-20,1.78065104029329e-20,1.0277938212763402,427.13910023573544,85.42782004714708,107.34595206534267,21.469190413068535,187.1602012267817,37.43204024535634,0.03717028573477057
