snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,nGamma_V_g1,R_gamma_c_g1,R_gamma_ctilde_g1,nGamma_ctilde_sigma_over_Gamma_g1,C13_c_actual_g1,C13_ctilde_actual_g1,C13_c_chi_nH2_g1,C13_ctilde_chi_nH2_g1,Q12_c_g1,Q12_ctilde_g1,nGamma_V_g2,R_gamma_c_g2,R_gamma_ctilde_g2,nGamma_ctilde_sigma_over_Gamma_g2,C13_c_actual_g2,C13_ctilde_actual_g2,C13_c_chi_nH2_g2,C13_ctilde_chi_nH2_g2,Q12_c_g2,Q12_ctilde_g2,nGamma_V_g0p1,R_gamma_c_g0p1,R_gamma_ctilde_g0p1,nGamma_ctilde_sigma_over_Gamma_g0p1,C13_c_actual_g0p1,C13_ctilde_actual_g0p1,C13_c_chi_nH2_g0p1,C13_ctilde_chi_nH2_g0p1,Q12_c_g0p1,Q12_ctilde_g0p1,nGamma_V_g1p2,R_gamma_c_g1p2,R_gamma_ctilde_g1p2,nGamma_ctilde_sigma_over_Gamma_g1p2,C13_c_actual_g1p2,C13_ctilde_actual_g1p2,C13_c_chi_nH2_g1p2,C13_ctilde_chi_nH2_g1p2,Q12_c_g1p2,Q12_ctilde_g1p2,nGamma_V_g0p1p2,R_gamma_c_g0p1p2,R_gamma_ctilde_g0p1p2,nGamma_ctilde_sigma_over_Gamma_g0p1p2,C13_c_actual_g0p1p2,C13_ctilde_actual_g0p1p2,C13_c_chi_nH2_g0p1p2,C13_ctilde_chi_nH2_g0p1p2,Q12_c_g0p1p2,Q12_ctilde_g0p1p2
80,5.511772431496886,all-gas,9135963218,270735815332826.7,1.0,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,5.244082037037032e-05,7.716700199693016e-07,5.948857351774776e-07,5.184593463519275e-05,5.591912599030287e-05,1.1542179926315205e-28,3.9043048804392537e-54,293.06775905417936,280.6032351067283,2.226690888548307e-05,2.182736405365549,2.4426393469159668e-20,2.292363279943027e-19,3.12680736857911e-20,6.2536147371582206e-21,70.59335735464309,70.59335735464309,31.753885533521437,70.59335735464309,662.5031256128663,662.5031256128663,298.0032286979403,8.28007591974027,8.28007591974027,3.724494666593536,1.4978710745377123e+17,6.7376348748930744e+16,90.36611574603856,18.073223149207717,90.36611574603856,18.073223149207717,40.64795050181766,8.129590100363533,9.384779962859946,1.2800937529017378,0.2560187505803476,9.384779962859946,0.012498168838193123,1.2800937529017378,0.2560187505803476,7.434982357680765e-09,0.012498168838193137,2.226690888548307e-05,3.12680736857911e-20,6.2536147371582206e-21,2.182736405365549,90.36611574603856,18.073223149207717,40.64795050181766,8.129590100363533,1.2800937529017378,0.2560187505803476,1.3998273627284048e-05,1.965692919043389e-20,3.931385838086778e-21,1.3721950188811975,56.809394665128735,11.361878933025748,25.55366514674618,5.110733029349237,0.8047413636913849,0.160948272738277,1.0490008796997828e-09,1.4730485031218966e-24,2.9460970062437936e-25,0.00010282937884000457,0.004257175317874857,0.0008514350635749715,0.001914937365293616,0.0003829874730587232,6.030560774277797e-05,1.2061121548555595e-05,3.626518251276707e-05,5.092500287622492e-20,1.0185000575244985e-20,3.554931424246742,147.1755104111671,29.435102082233424,66.20161564856376,13.24032312971275,2.08483511659312,0.416967023318624,1.3999322628163744e-05,1.9658402238937003e-20,3.931680447787401e-21,1.3722978482600372,56.81365184044659,11.36273036808932,25.555580084111465,5.111116016822294,0.8048016692991273,0.1609603338598255,3.626623151364685e-05,5.0926475924728155e-20,1.0185295184945632e-20,3.5550342536255894,147.1797675864853,29.435953517297065,66.20353058592919,13.24070611718584,2.0848954222008675,0.4169790844401735
80,5.511772431496886,overdensity_lt_-1,0,0.0,0.0,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5.511772431496886,overdensity_lt_-0.869346733668,1362189,322602714678.7932,0.0011915775320757041,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,6.355964613756308e-06,4.059139545089942e-11,1.1426508280638567e-07,6.241699530949923e-06,6.7401192977829414e-06,1.3988481670865038e-29,1.9661268528061426e-58,1.0047786038438433,1.004780135443323,2.0064559353509528e-05,1.9668488510803446,5.636118922988354e-24,4.40314945401845e-20,2.8175447412347655e-20,5.635089482469531e-21,1.122507567813601,1.122507567813601,0.49876237851723476,1.122507567813601,8769.454037228534,8769.454037228534,3896.5205040220967,570.6094499906388,570.6094499906388,253.53818062543465,1.0322361754693446e+19,4.586522040750431e+18,5611.512705648375,1122.302541129675,5611.512705648375,1122.302541129675,2493.356396340685,498.67127926813697,7812.378543077007,4999.086746985923,999.8173493971848,7812.378543077007,0.06506784203078761,4999.086746985923,999.8173493971848,7.434982357680765e-09,0.06506784203078758,2.0064559353509528e-05,2.8175447412347655e-20,5.635089482469531e-21,1.9668488510803446,5611.512705648375,1122.302541129675,2493.356396340685,498.67127926813697,4999.086746985923,999.8173493971848,1.3060133573519133e-05,1.833955584150724e-20,3.667911168301448e-21,1.2802328853306677,3652.5649127923043,730.5129825584607,1622.939582617941,324.5879165235882,3253.93344109626,650.786688219252,1.266418006201054e-12,1.7783542268286486e-27,3.556708453657297e-28,1.2414191393883385e-07,0.000354182746167116,7.083654923342318e-05,0.0001573735749970561,3.147471499941122e-05,0.0003155281588497318,6.310563176994635e-05,3.312469292702865e-05,4.6515003253854884e-20,9.303000650770976e-21,3.2470817364110114,9264.077618440677,1852.8155236881353,4116.295978958625,823.2591957917249,8253.02018808218,1650.604037616436,1.3060134839937136e-05,1.833955761986146e-20,3.667911523972293e-21,1.2802330094725816,3652.565266975049,730.5130533950099,1622.9397399915154,324.58794799830315,3253.9337566244176,650.7867513248837,3.312469419344662e-05,4.6515005032209056e-20,9.303001006441811e-21,3.247081860552922,9264.077972623412,1852.8155945246824,4116.296136332195,823.259227266439,8253.02050361033,1650.604100722066
80,5.511772431496886,overdensity_lt_-0.738693467337,247465221,32452289860433.79,0.11986699957129371,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,1.1307852840760048e-05,1.3079170115266545e-10,8.452765428673307e-08,1.122332518647331e-05,1.2111100819419914e-05,2.4886520344735562e-29,6.335022266468528e-58,1.022868468128282,1.0228687075614917,2.0815820121546998e-05,2.040491952453402,2.0650068472465034e-23,3.257232092963478e-20,2.923039748076753e-20,5.846079496153508e-21,1.2729047333040402,1.2729047333040402,0.5773480196660429,1.2729047333040402,2007.8123005410569,2007.8123005410569,910.6780933790574,176.6055045301336,176.6055045301336,80.10248971101957,3.1948049680216453e+18,1.449059205490408e+18,1801.8105537635518,360.36211075271046,1801.8105537635518,360.36211075271046,817.2424281340842,163.44848562681688,1577.34687287197,1415.5109228690246,283.102184573805,1577.3468728719702,0.08795917052731607,1415.5109228690249,283.10218457380506,7.434982357680765e-09,0.08795917052731597,2.0815820121546998e-05,2.923039748076753e-20,5.846079496153508e-21,2.040491952453402,1801.8105537635518,360.36211075271046,817.2424281340842,163.44848562681688,1415.5109228690246,283.102184573805,1.3427985135097491e-05,1.8856107545743303e-20,3.771221509148661e-21,1.31629190903068,1162.3219835164798,232.46439670329596,527.1912954991417,105.43825909982834,913.1256669141891,182.62513338283782,3.886771877964983e-12,5.4579587182531e-27,1.09159174365062e-27,3.810047690506431e-07,0.00033643769733287924,6.728753946657586e-05,0.00015259715296364262,3.051943059272853e-05,0.000264307051840084,5.2861410368016804e-05,3.424380525664457e-05,4.808650502651096e-20,9.617301005302191e-21,3.3567838614840904,2964.1325372800393,592.8265074560078,1344.4337236332294,268.8867447266459,2328.6365897832197,465.7273179566439,1.3427989021869356e-05,1.8856113003702006e-20,3.771222600740401e-21,1.316292290035448,1162.3223199541762,232.4644639908352,527.1914480962943,105.43828961925884,913.1259312212402,182.625186244248,3.424380914341634e-05,4.808651048446952e-20,9.617302096893905e-21,3.3567842424888488,2964.132873717727,592.8265747435454,1344.433876230378,268.8867752460756,2328.636854090264,465.72737081805286
80,5.511772431496886,overdensity_lt_-0.608040201005,937442621,91721639511191.22,0.3387865007754295,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,1.5069156207364888e-05,2.3834351539841404e-10,8.395484696986917e-08,1.4985201360395058e-05,1.6170797835737034e-05,3.316446574000132e-29,1.1544403717134287e-57,1.04960404335984,1.0496039851417553,2.1095338135384456e-05,2.0678919902357573,3.912504007080974e-23,3.235159241287692e-20,2.962290772536973e-20,5.924581545073946e-21,1.3528209987483024,1.3528209987483024,0.6159612705774188,1.3528209987483024,1118.6164532963344,1118.6164532963344,509.3241548576906,99.06388845249822,99.06388845249822,45.105389889718445,1.7920721317357455e+18,8.159594124068653e+17,1024.2671072626479,204.85342145252957,1024.2671072626479,204.85342145252957,466.3653723470484,93.27307446940968,826.8769144856077,757.1342462974415,151.4268492594883,826.8769144856077,0.08855929855186481,757.1342462974415,151.42684925948828,7.434982357680765e-09,0.08855929855186478,2.1095338135384456e-05,2.962290772536973e-20,5.924581545073946e-21,2.0678919902357573,1024.2671072626479,204.85342145252957,466.3653723470484,93.27307446940968,757.1342462974415,151.4268492594883,1.3557650668026143e-05,1.9038189012864397e-20,3.80763780257288e-21,1.3290025048614742,658.280779473439,131.6561558946878,299.72588073094613,59.94517614618923,486.59858183936626,97.31971636787326,6.406826087053802e-12,8.996718458422924e-27,1.799343691684585e-27,6.280356476500064e-07,0.0003110782667149635,6.221565334299272e-05,0.00014163896375947685,2.8327792751895377e-05,0.00022994784010803252,4.598956802160651e-05,3.4652988803410556e-05,4.866109673823406e-20,9.732219347646813e-21,3.3968944950972264,1682.5478867360846,336.5095773472169,766.0912530779935,153.21825061559872,1243.7328281368061,248.74656562736124,1.355765707485223e-05,1.9038198009582854e-20,3.8076396019165706e-21,1.3290031328971217,658.2810905517057,131.65621811034111,299.72602236990986,59.945204473981974,486.59881178720633,97.31976235744126,3.4652995210236676e-05,4.8661105734952564e-20,9.732221146990514e-21,3.396895123132878,1682.548197814353,336.50963956287063,766.091394716958,153.21827894339162,1243.7330580846474,248.7466116169295
80,5.511772431496886,overdensity_lt_-0.477386934673,1682033333,137802284348453.72,0.5089917053606213,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,1.799489091504813e-05,3.496519263095927e-10,8.562520218579715e-08,1.790926571286234e-05,1.9326999156622508e-05,3.960349726856624e-29,1.6935760674727736e-57,1.079785845334212,1.0797854934987712,2.125643966381817e-05,2.0836841315195236,5.810547292895997e-23,3.299525568046429e-20,2.984913286006918e-20,5.969826572013837e-21,1.4065475024119305,1.4065475024119305,0.6414976712438574,1.4065475024119305,798.7095213137748,798.7095213137748,364.27514680057106,69.3533101036529,69.3533101036529,31.6306323449834,1.254605853070057e+18,5.722001792994887e+17,722.5519586566709,144.51039173133418,722.5519586566709,144.51039173133418,329.54123343585036,65.90824668717008,567.8510821313588,513.7060479064146,102.74120958128292,567.8510821313588,0.08683170571145264,513.7060479064145,102.74120958128292,7.434982357680765e-09,0.0868317057114526,2.125643966381817e-05,2.984913286006918e-20,5.969826572013837e-21,2.0836841315195236,722.5519586566709,144.51039173133418,329.54123343585036,65.90824668717008,513.7060479064146,102.74120958128292,1.3633605026231977e-05,1.9144847125193822e-20,3.828969425038765e-21,1.3364480081261922,463.4354657249252,92.68709314498506,211.36347796612486,42.27269559322498,329.484404138667,65.89688082773341,8.182297889427326e-12,1.1489906149142451e-26,2.2979812298284902e-27,8.020780780417362e-07,0.0002781338483688522,5.5626769673770436e-05,0.00012685118399254528,2.5370236798509057e-05,0.00019774223614340194,3.9548447228680394e-05,3.489004469005006e-05,4.899397998526288e-20,9.798795997052577e-21,3.4201321396457076,1185.9874243815932,237.19748487631867,540.9047114019739,108.1809422803948,843.1904520450795,168.63809040901592,1.3633613208529874e-05,1.9144858615099984e-20,3.8289717230199965e-21,1.336448810204271,463.43574385877395,92.68714877175478,211.363604817309,42.2727209634618,329.48460188090337,65.89692037618067,3.4890052872348054e-05,4.899399147516918e-20,9.798798295033837e-21,3.420132941723796,1185.987702515445,237.19754050308907,540.9048382531596,108.18096765063193,843.1906497873182,168.63812995746366
80,5.511772431496886,overdensity_lt_-0.346733668342,2328364860,169080620034127.25,0.624522543595754,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,2.0341384483246778e-05,4.5980806695618175e-10,8.7401963177262e-08,2.025398252006951e-05,2.1858358067450012e-05,4.476773064219693e-29,2.2271322499021348e-57,1.1112604224561906,1.1112597103279356,2.1363652167501177e-05,2.0941937463072255,7.656686867920296e-23,3.3679921896717325e-20,2.999968489593726e-20,5.999936979187452e-21,1.449080428160205,1.449080428160205,0.6615403661803537,1.449080428160205,637.4155882876502,637.4155882876502,290.9956780109507,54.22273689456802,54.22273689456802,24.75399468756595,9.808928077943269e+17,4.4780136053303616e+17,567.7645825613321,113.55291651226642,567.7645825613321,113.55291651226642,259.19830435411444,51.83966087082289,439.87592123988014,391.8102622379509,78.36205244759017,439.87592123988014,0.0850665372653212,391.8102622379509,78.36205244759019,7.434982357680765e-09,0.08506653726532093,2.1363652167501177e-05,2.999968489593726e-20,5.999936979187452e-21,2.0941937463072255,567.7645825613321,113.55291651226642,259.19830435411444,51.83966087082289,391.8102622379509,78.36205244759017,1.3684940708769226e-05,1.92169347199534e-20,3.84338694399068e-21,1.3414802406531507,363.6936506909879,72.73873013819758,166.0349737530139,33.20699475060278,250.98237725337577,50.19647545067516,9.633135125819252e-12,1.352722914924544e-26,2.7054458298490882e-27,9.442978747103791e-07,0.0002560120760526032,5.1202415210520644e-05,0.00011687572287030269,2.3375144574060537e-05,0.00017667209568046104,3.533441913609221e-05,3.5048592876270336e-05,4.921661961589056e-20,9.843323923178113e-21,3.43567398696037,931.4582332523181,186.29164665046363,425.2332781071275,85.0466556214255,642.7926394913254,128.55852789826508,1.3684950341904351e-05,1.9216948247182546e-20,3.8433896494365095e-21,1.341481184951025,363.6939067030639,72.73878134061279,166.03509062873675,33.207018125747354,250.98255392547142,50.19651078509429,3.5048602509405486e-05,4.921663314311975e-20,9.843326628623949e-21,3.435674931258246,931.4584892643949,186.29169785287897,425.2333949828507,85.04667899657012,642.7928161634215,128.5585632326843
80,5.511772431496886,overdensity_lt_-0.21608040201,2869087691,190609293472291.0,0.7040416623045131,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,2.2286259649107746e-05,5.676623159563182e-10,8.934115281132635e-08,2.2196918496296387e-05,2.3956345169861564e-05,4.904807620719614e-29,2.749540140100193e-57,1.142920726224794,1.1429196319750112,2.1438401163299147e-05,2.1015210926951706,9.418550881029577e-23,3.4427179201290187e-20,3.010465039072462e-20,6.020930078144924e-21,1.484056413910725,1.484056413910725,0.677932097627702,1.484056413910725,542.460053058009,542.460053058009,247.80128181230515,45.1435961739858,45.1435961739858,20.622054904261294,8.166505665535706e+17,3.730543033425532e+17,474.3510977987208,94.87021955974416,474.3510977987208,94.87021955974416,216.68841678011498,43.33768335602299,365.5252239559683,319.6314461852094,63.92628923704188,365.5252239559683,0.0832201300713258,319.6314461852094,63.926289237041885,7.434982357680765e-09,0.0832201300713257,2.1438401163299147e-05,3.010465039072462e-20,6.020930078144924e-21,2.1015210926951706,474.3510977987208,94.87021955974416,216.68841678011498,43.33768335602299,319.6314461852094,63.92628923704188,1.3721173752950909e-05,1.926781459291466e-20,3.853562918582932e-21,1.3450320216847844,303.59791214008806,60.71958242801762,138.68662099586595,27.737324199173194,204.57302653344505,40.91460530668901,1.0753571665416322e-11,1.510059042990413e-26,3.0201180859808256e-27,1.0541298068145582e-06,0.00023793605156899043,4.758721031379808e-05,0.00010869161376174087,2.173832275234817e-05,0.00016032817171821053,3.20656343436421e-05,3.515957491625011e-05,4.9372464983639356e-20,9.874492996727871e-21,3.44655311437996,777.94900993881,155.589801987762,355.37503777598147,71.0750075551963,524.2044727186553,104.84089454373105,1.3721184506522612e-05,1.9267829693505144e-20,3.853565938701029e-21,1.345033075814595,303.5981500761405,60.719630015228105,138.6867296874801,27.737345937496023,204.57318686161736,40.914637372323476,3.515958566982171e-05,4.9372480084229695e-20,9.874496016845937e-21,3.4465541685097603,777.9492478748601,155.58984957497202,355.37514646759456,71.07502929351891,524.2046330468261,104.84092660936518
80,5.511772431496886,overdensity_lt_-0.0854271356784,3319095536,205838959226526.2,0.7602945290909512,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,2.3925459383143954e-05,6.720790621595819e-10,9.132637350590928e-08,2.3834133009638093e-05,2.5724537588932263e-05,5.265568492302976e-29,3.2552989432494964e-57,1.1740871765749799,1.1740856910108795,2.1492104170498362e-05,2.106785384631433,1.107852107173103e-22,3.5192174351407054e-20,3.018006227635677e-20,6.036012455271355e-21,1.5139600797957702,1.5139600797957702,0.691891026463546,1.5139600797957702,480.92653111610593,480.92653111610593,219.78700476194993,39.152767562346035,39.152767562346035,17.893106231212208,7.082760905600024e+17,3.236874458296511e+17,412.4323923411113,82.48647846822227,412.4323923411113,82.48647846822227,188.48467346787749,37.6969346935755,317.6613026553394,272.4195953678961,54.483919073579216,317.6613026553394,0.08141112005503752,272.419595367896,54.483919073579216,7.434982357680765e-09,0.08141112005503737,2.1492104170498362e-05,3.018006227635677e-20,6.036012455271355e-21,2.106785384631433,412.4323923411113,82.48647846822227,188.48467346787749,37.6969346935755,272.4195953678961,54.483919073579216,1.3747372894130867e-05,1.9304604462632656e-20,3.8609208925265315e-21,1.3476002191627958,263.8113907392376,52.76227814784752,120.5637693934238,24.11275387868476,174.2525409090213,34.850508181804265,1.1758937185989973e-11,1.6512364436800312e-26,3.302472887360062e-27,1.1526817851668865e-06,0.00022565341003994598,4.513068200798919e-05,0.00010312528816387214,2.0625057632774428e-05,0.00014904845448130053,2.9809690896260106e-05,3.523947706462927e-05,4.9484666738989484e-20,9.896933347797897e-21,3.4543856037942327,676.2437830803497,135.24875661606993,309.0484428613016,61.80968857226032,446.67213627691785,89.33442725538357,1.3747384653068028e-05,1.9304620974997058e-20,3.860924194999411e-21,1.3476013718445787,263.8116163926471,52.76232327852942,120.56387251871173,24.112774503742344,174.25268995747547,34.85053799149509,3.523948882356643e-05,4.9484683251353886e-20,9.896936650270777e-21,3.454386756476015,676.2440087337592,135.24880174675184,309.04854598658955,61.809709197317915,446.67228532537206,89.3344570650744
80,5.511772431496886,overdensity_lt_0.0452261306533,3693652276,216870722397190.1,0.801041864854792,4.686775546507418,proper pMpc/h,2.134909689007955e+25,redshift_table,3.853451418294848e-13,6.3e-18,0,5995849160.0,2.5319157368563187e-05,7.720839739862785e-10,9.298358058357945e-08,2.5226173787979604e-05,2.7228221042370318e-05,5.572298838907527e-29,3.739689373421337e-57,1.2043888649498253,1.2043869518399442,2.153240504299312e-05,2.110735918673437,1.2631822240560192e-22,3.58307710477928e-20,3.023665435463978e-20,6.0473308709279554e-21,1.540901669782771,1.540901669782771,0.7044399697215799,1.540901669782771,437.0841663672714,437.0841663672714,199.81778393747138,34.94932164761302,34.94932164761302,15.97746278430929,6.322354828398282e+17,2.8903333231599616e+17,368.84394267443946,73.76878853488789,368.84394267443946,73.76878853488789,168.62102294054858,33.72420458810972,283.6548074017529,239.36890322562718,47.873780645125436,283.6548074017529,0.07996016405281069,239.36890322562718,47.873780645125436,7.434982357680765e-09,0.0799601640528108,2.153240504299312e-05,3.023665435463978e-20,6.0473308709279554e-21,2.110735918673437,368.84394267443946,73.76878853488789,168.62102294054858,33.72420458810972,239.36890322562718,47.873780645125436,1.376698284325006e-05,1.9332141528382868e-20,3.8664283056765736e-21,1.3495225043829835,235.82448038186567,47.16489607637313,107.80972795183494,21.56194559036699,153.04317271270855,30.60863454254171,1.2514814129095903e-11,1.7573796720732436e-26,3.514759344146487e-27,1.2267773917990842e-06,0.00021437518828002985,4.2875037656005964e-05,9.800395061050943e-05,1.9600790122101883e-05,0.00013912321109383407,2.782464221876681e-05,3.529938788624315e-05,4.9568795883022606e-20,9.913759176604522e-21,3.4602584230564175,604.6684230563046,120.93368461126093,276.4307508923833,55.28615017847667,392.4120759383354,78.48241518766709,1.3766995358064183e-05,1.9332159102179582e-20,3.8664318204359165e-21,1.3495237311603747,235.82469475705386,47.164938951410775,107.80982595578551,21.561965191157103,153.0433118359196,30.60866236718392,3.5299400401057296e-05,4.956881345681935e-20,9.91376269136387e-21,3.4602596498338105,604.6686374314932,120.93372748629864,276.43084889633406,55.28616977926681,392.4122150615467,78.48244301230933
